CPI MOM;
Date;Last Price
31.07.2015;0,8
30.06.2015;0,2
31.05.2015;0,4
30.04.2015;0,5
31.03.2015;1,2
28.02.2015;2,2
31.01.2015;3,9
31.12.2014;2,6
30.11.2014;1,3
31.10.2014;0,8
30.09.2014;0,7
31.08.2014;0,2
31.07.2014;0,5
30.06.2014;0,6
31.05.2014;0,9
30.04.2014;0,9
31.03.2014;1
28.02.2014;0,7
31.01.2014;0,6
31.12.2013;0,5
30.11.2013;0,6
31.10.2013;0,6
30.09.2013;0,2
31.08.2013;0,1
31.07.2013;0,8
30.06.2013;0,4
31.05.2013;0,7
30.04.2013;0,5
31.03.2013;0,3
28.02.2013;0,6
31.01.2013;1
31.12.2012;0,5
30.11.2012;0,3
31.10.2012;0,5
30.09.2012;0,6
31.08.2012;0,1
31.07.2012;1,2
30.06.2012;0,9
31.05.2012;0,5
30.04.2012;0,3
31.03.2012;0,6
29.02.2012;0,4
31.01.2012;0,5
31.12.2011;0,4
30.11.2011;0,4
31.10.2011;0,5
30.09.2011;0
31.08.2011;-0,2
31.07.2011;0
30.06.2011;0,2
31.05.2011;0,5
30.04.2011;0,4
31.03.2011;0,6
28.02.2011;0,8
31.01.2011;2,4
31.12.2010;1,1
30.11.2010;0,8
31.10.2010;0,5
30.09.2010;0,8
31.08.2010;0,6
31.07.2010;0,4
30.06.2010;0,4
31.05.2010;0,5
30.04.2010;0,3
31.03.2010;0,6
28.02.2010;0,9
31.01.2010;1,6
31.12.2009;0,4
30.11.2009;0,3
31.10.2009;0
30.09.2009;0
31.08.2009;0
31.07.2009;0,6
30.06.2009;0,6
31.05.2009;0,6
30.04.2009;0,7
31.03.2009;1,3
28.02.2009;1,7
31.01.2009;2,4
31.12.2008;0,7
30.11.2008;0,8
31.10.2008;0,9
30.09.2008;0,8
31.08.2008;0,4
31.07.2008;0,5
30.06.2008;1
31.05.2008;1,4
30.04.2008;1,4
31.03.2008;1,2
29.02.2008;1,2
31.01.2008;2,3
31.12.2007;1,1
30.11.2007;1,2
31.10.2007;1,6
30.09.2007;0,8
31.08.2007;0,1
31.07.2007;0,9
30.06.2007;1
31.05.2007;0,6
30.04.2007;0,6
31.03.2007;0,6
28.02.2007;1,1
31.01.2007;1,7
31.12.2006;0,8
30.11.2006;0,6
31.10.2006;0,3
30.09.2006;0,1
31.08.2006;0,2
31.07.2006;0,7
30.06.2006;0,3
31.05.2006;0,5
30.04.2006;0,4
31.03.2006;0,8
28.02.2006;1,7
31.01.2006;2,4
31.12.2005;0,8
30.11.2005;0,7
31.10.2005;0,6
30.09.2005;0,3
31.08.2005;-0,1
