CPI yOy;
Date;Last Price
30.06.2015;0,1
31.05.2015;0
30.04.2015;-0,2
31.03.2015;-0,1
28.02.2015;0
31.01.2015;-0,1
31.12.2014;0,8
30.11.2014;1,3
31.10.2014;1,7
30.09.2014;1,7
31.08.2014;1,7
31.07.2014;2
30.06.2014;2,1
31.05.2014;2,1
30.04.2014;2
31.03.2014;1,5
28.02.2014;1,1
31.01.2014;1,6
31.12.2013;1,5
30.11.2013;1,2
31.10.2013;1
30.09.2013;1,2
31.08.2013;1,5
31.07.2013;2
30.06.2013;1,8
31.05.2013;1,4
30.04.2013;1,1
31.03.2013;1,5
28.02.2013;2
31.01.2013;1,6
31.12.2012;1,7
30.11.2012;1,8
31.10.2012;2,2
30.09.2012;2
31.08.2012;1,7
31.07.2012;1,4
30.06.2012;1,7
31.05.2012;1,7
30.04.2012;2,3
31.03.2012;2,7
29.02.2012;2,9
31.01.2012;2,9
31.12.2011;3
30.11.2011;3,4
31.10.2011;3,5
30.09.2011;3,9
31.08.2011;3,8
31.07.2011;3,6
30.06.2011;3,6
31.05.2011;3,6
30.04.2011;3,2
31.03.2011;2,7
28.02.2011;2,1
31.01.2011;1,6
31.12.2010;1,5
30.11.2010;1,1
31.10.2010;1,2
30.09.2010;1,1
31.08.2010;1,1
31.07.2010;1,2
30.06.2010;1,1
31.05.2010;2
30.04.2010;2,2
31.03.2010;2,3
28.02.2010;2,1
31.01.2010;2,6
31.12.2009;2,7
30.11.2009;1,8
31.10.2009;-0,2
30.09.2009;-1,3
31.08.2009;-1,5
31.07.2009;-2,1
30.06.2009;-1,4
31.05.2009;-1,3
30.04.2009;-0,7
31.03.2009;-0,4
28.02.2009;0,2
31.01.2009;0
31.12.2008;0,1
30.11.2008;1,1
31.10.2008;3,7
30.09.2008;4,9
31.08.2008;5,4
31.07.2008;5,6
30.06.2008;5
31.05.2008;4,2
30.04.2008;3,9
31.03.2008;4
29.02.2008;4
31.01.2008;4,3
31.12.2007;4,1
30.11.2007;4,3
31.10.2007;3,5
30.09.2007;2,8
31.08.2007;2
31.07.2007;2,4
30.06.2007;2,7
31.05.2007;2,7
30.04.2007;2,6
31.03.2007;2,8
28.02.2007;2,4
31.01.2007;2,1
31.12.2006;2,5
30.11.2006;2
31.10.2006;1,3
30.09.2006;2,1
31.08.2006;3,8
31.07.2006;4,1
30.06.2006;4,3
31.05.2006;4,2
30.04.2006;3,5
31.03.2006;3,4
28.02.2006;3,6
31.01.2006;4
31.12.2005;3,4
30.11.2005;3,5
31.10.2005;4,3
30.09.2005;4,7
31.08.2005;3,6
