economic surprise index;
Date;Mid Price
17.08.2015;
14.08.2015;-4,4
13.08.2015;-5,4
12.08.2015;-4,1
11.08.2015;-5,4
10.08.2015;-5,9
07.08.2015;-8,2
06.08.2015;-7,6
05.08.2015;-8,2
04.08.2015;-14
03.08.2015;-14
31.07.2015;-15,4
30.07.2015;-16,3
29.07.2015;-14,9
28.07.2015;-15,8
27.07.2015;-10,5
24.07.2015;-14,4
23.07.2015;-7
22.07.2015;-12,3
21.07.2015;-13,2
20.07.2015;-14,8
17.07.2015;-18
16.07.2015;-20,8
15.07.2015;-21,5
14.07.2015;-22,9
13.07.2015;-17,1
10.07.2015;-21,8
09.07.2015;-22,9
08.07.2015;-20,7
07.07.2015;-21,5
06.07.2015;-23,6
02.07.2015;-25,1
01.07.2015;-24,1
30.06.2015;-28,8
29.06.2015;-29,1
26.06.2015;-30,6
25.06.2015;-32,7
24.06.2015;-35,9
23.06.2015;-36,8
22.06.2015;-38
19.06.2015;-36
18.06.2015;-35,8
17.06.2015;-32,9
16.06.2015;-32,9
15.06.2015;-30,4
12.06.2015;-33
11.06.2015;-37,7
10.06.2015;-41,2
09.06.2015;-42,7
08.06.2015;-44,6
05.06.2015;-47,9
04.06.2015;-50,5
03.06.2015;-51,5
02.06.2015;-53,1
01.06.2015;-52,5
29.05.2015;-54,2
28.05.2015;-56,8
27.05.2015;-55,6
26.05.2015;-56,8
22.05.2015;-62,1
21.05.2015;-65,3
20.05.2015;-64,3
19.05.2015;-64,5
18.05.2015;-72,4
15.05.2015;-71,6
14.05.2015;-62
13.05.2015;-63,8
12.05.2015;-59,5
11.05.2015;-61
08.05.2015;-64,3
07.05.2015;-64,7
06.05.2015;-67,3
05.05.2015;-65,3
04.05.2015;-56,1
01.05.2015;-62,3
30.04.2015;-62,2
29.04.2015;-66,8
28.04.2015;-58,5
27.04.2015;-56
24.04.2015;-57,7
23.04.2015;-57,2
22.04.2015;-51,8
21.04.2015;-53,1
20.04.2015;-54,3
17.04.2015;-54,2
16.04.2015;-56,7
15.04.2015;-49
14.04.2015;-48
13.04.2015;-45,6
10.04.2015;-52,2
09.04.2015;-53,5
08.04.2015;-55
07.04.2015;-55,7
06.04.2015;-56,5
02.04.2015;-47,3
01.04.2015;-62,5
31.03.2015;-58,6
30.03.2015;-60,8
27.03.2015;-62,9
26.03.2015;-60
25.03.2015;-61,9
24.03.2015;-57,8
23.03.2015;-73,3
20.03.2015;-72,1
19.03.2015;-72,1
18.03.2015;-71,9
17.03.2015;-72
16.03.2015;-63,8
13.03.2015;-60,1
12.03.2015;-55,6
11.03.2015;-50,5
10.03.2015;-50,1
09.03.2015;-49
06.03.2015;-47,5
05.03.2015;-55
04.03.2015;-49,6
03.03.2015;-49,4
02.03.2015;-49,2
27.02.2015;-46,7
26.02.2015;-41,8
25.02.2015;-47,1
24.02.2015;-47,8
23.02.2015;-45,6
20.02.2015;-47,4
19.02.2015;-48,3
18.02.2015;-48,4
17.02.2015;-45,4
13.02.2015;-37,2
12.02.2015;-36,9
11.02.2015;-29,6
10.02.2015;-28,8
09.02.2015;-26,1
06.02.2015;-25,3
05.02.2015;-27,2
04.02.2015;-13
03.02.2015;-13
02.02.2015;-8,5
30.01.2015;-4
29.01.2015;1,1
28.01.2015;-4
27.01.2015;-3,7
26.01.2015;-3,7
23.01.2015;-1,5
22.01.2015;4
21.01.2015;5,5
20.01.2015;4,8
16.01.2015;7,2
15.01.2015;11,7
14.01.2015;19
13.01.2015;31
12.01.2015;30,8
09.01.2015;30,7
08.01.2015;28,5
07.01.2015;29,3
06.01.2015;22,8
05.01.2015;27,6
02.01.2015;28,3
31.12.2014;34,7
30.12.2014;38,4
29.12.2014;40
26.12.2014;38,6
24.12.2014;38,5
23.12.2014;36,9
22.12.2014;32,7
19.12.2014;31,5
18.12.2014;31,6
17.12.2014;31,2
16.12.2014;31,4
15.12.2014;34,4
12.12.2014;29,6
11.12.2014;24,8
10.12.2014;18,1
09.12.2014;17,9
08.12.2014;15,9
05.12.2014;14,9
04.12.2014;12,1
03.12.2014;12,2
02.12.2014;7,9
01.12.2014;7,8
28.11.2014;6,1
26.11.2014;6,2
25.11.2014;16,4
24.11.2014;13,4
21.11.2014;19,9
20.11.2014;21,4
19.11.2014;10,6
18.11.2014;10,5
17.11.2014;8,4
14.11.2014;15,4
13.11.2014;13,3
12.11.2014;15,7
10.11.2014;15,6
07.11.2014;15
06.11.2014;16,2
05.11.2014;15,2
04.11.2014;16,4
03.11.2014;22,1
31.10.2014;18
30.10.2014;18,8
29.10.2014;12,5
28.10.2014;13
27.10.2014;12
24.10.2014;17,2
23.10.2014;19,4
22.10.2014;19,9
21.10.2014;20,8
20.10.2014;21,2
17.10.2014;20,6
16.10.2014;18,3
15.10.2014;12,3
14.10.2014;19,4
10.10.2014;19,1
09.10.2014;19,1
08.10.2014;17,8
07.10.2014;17,9
06.10.2014;18,2
03.10.2014;18,3
02.10.2014;11,4
01.10.2014;12,4
30.09.2014;17,9
29.09.2014;24,9
26.09.2014;26,2
25.09.2014;26,9
24.09.2014;26,9
23.09.2014;21,1
22.09.2014;21
19.09.2014;20
18.09.2014;19,8
17.09.2014;20,8
16.09.2014;31,8
15.09.2014;31,9
12.09.2014;36,2
11.09.2014;35,5
10.09.2014;38,4
09.09.2014;38,5
08.09.2014;38
05.09.2014;37,9
04.09.2014;47
03.09.2014;41,2
02.09.2014;43,5
29.08.2014;34,6
28.08.2014;32,9
27.08.2014;27,8
26.08.2014;27,3
25.08.2014;5,2
22.08.2014;4,4
21.08.2014;4
20.08.2014;-1,8
19.08.2014;-1,8
18.08.2014;-2
15.08.2014;-5,7
14.08.2014;-2,6
13.08.2014;-0,3
12.08.2014;3,3
11.08.2014;4,1
08.08.2014;3
07.08.2014;2,6
06.08.2014;0
05.08.2014;-6,2
04.08.2014;-12,7
01.08.2014;-13
31.07.2014;-12,5
30.07.2014;-5,2
29.07.2014;-18
28.07.2014;-20,7
25.07.2014;-24,5
24.07.2014;-26
23.07.2014;-23,3
22.07.2014;-23,4
21.07.2014;-16,1
18.07.2014;-18
17.07.2014;-16,7
16.07.2014;-13
15.07.2014;-15,7
14.07.2014;-15,9
11.07.2014;-13,1
10.07.2014;-12,6
09.07.2014;-14
08.07.2014;-13,6
07.07.2014;-11,2
03.07.2014;-9,4
02.07.2014;-18,6
01.07.2014;-22,6
30.06.2014;-22
27.06.2014;-23,7
26.06.2014;-23,1
25.06.2014;-20,3
24.06.2014;-2,6
23.06.2014;-9
20.06.2014;-10,2
19.06.2014;-10,2
18.06.2014;-11,5
17.06.2014;-11,6
16.06.2014;-15,4
13.06.2014;-19,5
12.06.2014;-17,6
11.06.2014;-13
10.06.2014;-13,2
09.06.2014;-13,2
06.06.2014;-12,9
05.06.2014;-14,1
04.06.2014;-13,7
03.06.2014;-2,1
02.06.2014;-3,2
30.05.2014;-4,8
29.05.2014;-2,9
28.05.2014;1,9
27.05.2014;2
23.05.2014;1,4
22.05.2014;-0,3
21.05.2014;3,2
20.05.2014;3,3
19.05.2014;3
16.05.2014;-2,3
15.05.2014;-7,4
14.05.2014;-11,4
13.05.2014;-12,7
12.05.2014;-6,6
09.05.2014;-9,1
08.05.2014;-9,7
07.05.2014;-11,2
06.05.2014;-12
05.05.2014;-12,6
02.05.2014;-18,9
01.05.2014;-28,7
30.04.2014;-32,5
29.04.2014;-21
28.04.2014;-21,4
25.04.2014;-25,3
24.04.2014;-27,1
23.04.2014;-27,4
22.04.2014;-22,9
21.04.2014;-23,6
17.04.2014;-26,1
16.04.2014;-30,4
15.04.2014;-32,7
14.04.2014;-37,6
11.04.2014;-40,2
10.04.2014;-41,8
09.04.2014;-45,2
08.04.2014;-45,2
07.04.2014;-45,9
04.04.2014;-43,8
03.04.2014;-41,8
02.04.2014;-32,8
01.04.2014;-34,1
31.03.2014;-32,6
