FED Rate;
Date;Last Price
17.08.2015;0,25
31.07.2015;0,25
30.06.2015;0,25
29.05.2015;0,25
30.04.2015;0,25
31.03.2015;0,25
27.02.2015;0,25
30.01.2015;0,25
31.12.2014;0,25
28.11.2014;0,25
31.10.2014;0,25
30.09.2014;0,25
29.08.2014;0,25
31.07.2014;0,25
30.06.2014;0,25
30.05.2014;0,25
30.04.2014;0,25
31.03.2014;0,25
28.02.2014;0,25
31.01.2014;0,25
31.12.2013;0,25
29.11.2013;0,25
31.10.2013;0,25
30.09.2013;0,25
30.08.2013;0,25
31.07.2013;0,25
28.06.2013;0,25
31.05.2013;0,25
30.04.2013;0,25
29.03.2013;0,25
28.02.2013;0,25
31.01.2013;0,25
31.12.2012;0,25
30.11.2012;0,25
31.10.2012;0,25
28.09.2012;0,25
31.08.2012;0,25
31.07.2012;0,25
29.06.2012;0,25
31.05.2012;0,25
30.04.2012;0,25
30.03.2012;0,25
29.02.2012;0,25
31.01.2012;0,25
30.12.2011;0,25
30.11.2011;0,25
31.10.2011;0,25
30.09.2011;0,25
31.08.2011;0,25
29.07.2011;0,25
30.06.2011;0,25
31.05.2011;0,25
29.04.2011;0,25
31.03.2011;0,25
28.02.2011;0,25
31.01.2011;0,25
31.12.2010;0,25
30.11.2010;0,25
29.10.2010;0,25
30.09.2010;0,25
31.08.2010;0,25
30.07.2010;0,25
30.06.2010;0,25
31.05.2010;0,25
30.04.2010;0,25
31.03.2010;0,25
26.02.2010;0,25
29.01.2010;0,25
31.12.2009;0,25
30.11.2009;0,25
30.10.2009;0,25
30.09.2009;0,25
31.08.2009;0,25
31.07.2009;0,25
30.06.2009;0,25
29.05.2009;0,25
30.04.2009;0,25
31.03.2009;0,25
27.02.2009;0,25
30.01.2009;0,25
31.12.2008;0,25
28.11.2008;1
31.10.2008;1
30.09.2008;2
29.08.2008;2
31.07.2008;2
30.06.2008;2
30.05.2008;2
30.04.2008;2
31.03.2008;2,25
29.02.2008;3
31.01.2008;3
31.12.2007;4,25
30.11.2007;4,5
31.10.2007;4,5
28.09.2007;4,75
31.08.2007;5,25
31.07.2007;5,25
29.06.2007;5,25
31.05.2007;5,25
30.04.2007;5,25
30.03.2007;5,25
28.02.2007;5,25
31.01.2007;5,25
29.12.2006;5,25
30.11.2006;5,25
31.10.2006;5,25
29.09.2006;5,25
31.08.2006;5,25
31.07.2006;5,25
30.06.2006;5,25
31.05.2006;5
28.04.2006;4,75
31.03.2006;4,75
28.02.2006;4,5
31.01.2006;4,5
30.12.2005;4,25
30.11.2005;4
31.10.2005;3,75
30.09.2005;3,75
31.08.2005;3,5
