forward breakven inflation rate;
Date;Last Price
12.08.2015;1,918
11.08.2015;1,9152
10.08.2015;1,9558
07.08.2015;1,9366
06.08.2015;1,9408
05.08.2015;1,9814
04.08.2015;1,9945
03.08.2015;1,9908
31.07.2015;2,0142
30.07.2015;2,0258
29.07.2015;2,0525
28.07.2015;2,0351
27.07.2015;2,0098
24.07.2015;2,0262
23.07.2015;2,0354
22.07.2015;2,0859
21.07.2015;2,0992
20.07.2015;2,1007
17.07.2015;2,1025
16.07.2015;2,1095
15.07.2015;2,1033
14.07.2015;2,1287
13.07.2015;2,1434
10.07.2015;2,1207
09.07.2015;2,1026
08.07.2015;2,0698
07.07.2015;2,1596
06.07.2015;2,1482
02.07.2015;2,1358
01.07.2015;2,1539
30.06.2015;2,1381
29.06.2015;2,1003
26.06.2015;2,1751
25.06.2015;2,1534
24.06.2015;2,1603
23.06.2015;2,1606
22.06.2015;2,1435
19.06.2015;2,0741
18.06.2015;2,0903
17.06.2015;2,1006
16.06.2015;2,0912
15.06.2015;2,0716
12.06.2015;2,0453
11.06.2015;2,0516
10.06.2015;2,1109
09.06.2015;2,0948
08.06.2015;2,0902
05.06.2015;2,0858
04.06.2015;2,0361
03.06.2015;2,07
02.06.2015;2,0373
01.06.2015;2,0041
29.05.2015;2,038
28.05.2015;2,0048
27.05.2015;2,0118
26.05.2015;2,0308
22.05.2015;2,051
21.05.2015;2,0381
20.05.2015;2,1033
19.05.2015;2,0843
18.05.2015;2,0737
15.05.2015;2,0528
14.05.2015;2,0553
13.05.2015;2,0834
12.05.2015;2,0888
11.05.2015;2,071
08.05.2015;2,051
07.05.2015;2,0255
06.05.2015;2,0323
05.05.2015;2,0578
04.05.2015;2,0769
01.05.2015;2,0813
30.04.2015;2,0384
29.04.2015;2,034
28.04.2015;2,0089
27.04.2015;1,9552
24.04.2015;1,9793
23.04.2015;1,9749
22.04.2015;1,9409
21.04.2015;1,9479
20.04.2015;1,9585
17.04.2015;1,9759
16.04.2015;1,9097
15.04.2015;1,87
14.04.2015;1,8609
13.04.2015;1,8843
10.04.2015;1,8926
09.04.2015;1,9109
08.04.2015;1,8876
07.04.2015;1,8725
06.04.2015;1,8732
02.04.2015;1,8607
01.04.2015;1,8341
31.03.2015;1,8327
30.03.2015;1,9076
27.03.2015;1,9477
26.03.2015;1,976
25.03.2015;1,9316
24.03.2015;1,8855
23.03.2015;1,9
20.03.2015;1,9057
19.03.2015;1,94
18.03.2015;1,8805
17.03.2015;1,8567
16.03.2015;1,8563
13.03.2015;1,89
12.03.2015;1,8875
11.03.2015;1,8904
10.03.2015;1,9028
09.03.2015;1,9319
06.03.2015;1,9939
05.03.2015;1,9751
04.03.2015;1,9827
03.03.2015;1,9559
02.03.2015;1,9266
27.02.2015;1,8899
26.02.2015;1,9075
25.02.2015;1,8538
24.02.2015;1,8724
23.02.2015;1,8757
20.02.2015;1,8816
19.02.2015;1,8842
18.02.2015;1,8333
17.02.2015;1,8258
13.02.2015;1,7753
12.02.2015;1,7641
11.02.2015;1,7874
10.02.2015;1,7939
09.02.2015;1,7835
06.02.2015;1,788
05.02.2015;1,7879
04.02.2015;1,8074
03.02.2015;1,7545
02.02.2015;1,7549
30.01.2015;1,7535
29.01.2015;1,814
28.01.2015;1,778
27.01.2015;1,7942
26.01.2015;1,8033
23.01.2015;1,793
22.01.2015;1,8141
21.01.2015;1,7966
20.01.2015;1,7807
16.01.2015;1,7831
15.01.2015;1,7766
14.01.2015;1,782
13.01.2015;1,7579
12.01.2015;1,776
09.01.2015;1,8185
08.01.2015;1,851
07.01.2015;1,8479
06.01.2015;1,8648
05.01.2015;1,8999
02.01.2015;1,9525
31.12.2014;1,9463
30.12.2014;1,9446
29.12.2014;1,9757
26.12.2014;1,9853
24.12.2014;1,9953
23.12.2014;2,0108
22.12.2014;2,0074
19.12.2014;1,9807
18.12.2014;1,9972
17.12.2014;2,009
16.12.2014;1,968
15.12.2014;1,9654
12.12.2014;1,9626
11.12.2014;1,9989
10.12.2014;1,9718
09.12.2014;1,984
08.12.2014;1,985
05.12.2014;2,0172
04.12.2014;2,0185
03.12.2014;2,0587
02.12.2014;2,0569
01.12.2014;2,0582
28.11.2014;2,032
26.11.2014;2,084
25.11.2014;2,1005
24.11.2014;2,1123
21.11.2014;2,1239
20.11.2014;2,1142
19.11.2014;2,1197
18.11.2014;2,1242
17.11.2014;2,1383
14.11.2014;2,1536
13.11.2014;2,1605
12.11.2014;2,158
10.11.2014;2,1756
07.11.2014;2,1551
06.11.2014;2,1895
05.11.2014;2,1696
04.11.2014;2,1627
03.11.2014;2,175
31.10.2014;2,1979
30.10.2014;2,2035
29.10.2014;2,202
28.10.2014;2,2041
27.10.2014;2,1884
24.10.2014;2,1932
23.10.2014;2,2027
22.10.2014;2,2021
21.10.2014;2,2074
20.10.2014;2,1919
17.10.2014;2,2267
16.10.2014;2,2004
15.10.2014;2,2262
14.10.2014;2,1812
10.10.2014;2,2229
09.10.2014;2,2074
08.10.2014;2,2007
07.10.2014;2,1385
06.10.2014;2,1585
03.10.2014;2,1585
02.10.2014;2,1775
01.10.2014;2,1689
30.09.2014;2,1722
29.09.2014;2,156
26.09.2014;2,2138
25.09.2014;2,2769
24.09.2014;2,3106
23.09.2014;2,3142
22.09.2014;2,3018
19.09.2014;2,3236
18.09.2014;2,3398
17.09.2014;2,3804
16.09.2014;2,3808
15.09.2014;2,3775
12.09.2014;2,3751
11.09.2014;2,3759
10.09.2014;2,3399
09.09.2014;2,3455
08.09.2014;2,379
05.09.2014;2,3865
04.09.2014;2,3958
03.09.2014;2,3951
02.09.2014;2,3975
29.08.2014;2,3484
28.08.2014;2,3616
27.08.2014;2,3593
26.08.2014;2,3766
25.08.2014;2,3724
22.08.2014;2,3832
21.08.2014;2,4056
20.08.2014;2,4122
19.08.2014;2,4193
18.08.2014;2,4363
15.08.2014;2,4285
14.08.2014;2,4699
13.08.2014;2,4783
12.08.2014;2,4903
11.08.2014;2,5017
08.08.2014;2,4988
07.08.2014;2,4862
06.08.2014;2,4905
05.08.2014;2,4922
04.08.2014;2,4922
01.08.2014;2,4901
31.07.2014;2,5319
30.07.2014;2,5005
29.07.2014;2,4462
28.07.2014;2,4566
25.07.2014;2,4551
24.07.2014;2,4764
23.07.2014;2,475
22.07.2014;2,4729
21.07.2014;2,4606
18.07.2014;2,4622
17.07.2014;2,4505
16.07.2014;2,4772
15.07.2014;2,5011
14.07.2014;2,4922
11.07.2014;2,5002
10.07.2014;2,5097
09.07.2014;2,4741
08.07.2014;2,4317
07.07.2014;2,4305
03.07.2014;2,4264
02.07.2014;2,4195
01.07.2014;2,4261
30.06.2014;2,4308
27.06.2014;2,447
26.06.2014;2,4384
25.06.2014;2,4479
24.06.2014;2,4442
23.06.2014;2,4427
20.06.2014;2,4443
19.06.2014;2,4527
18.06.2014;2,4137
17.06.2014;2,4176
16.06.2014;2,406
13.06.2014;2,3924
12.06.2014;2,3929
11.06.2014;2,4322
10.06.2014;2,4356
09.06.2014;2,4375
06.06.2014;2,4356
05.06.2014;2,4338
04.06.2014;2,4351
03.06.2014;2,4384
02.06.2014;2,458
30.05.2014;2,4846
29.05.2014;2,4777
28.05.2014;2,4525
27.05.2014;2,4553
23.05.2014;2,4659
22.05.2014;2,462
21.05.2014;2,4256
20.05.2014;2,4066
19.05.2014;2,4262
16.05.2014;2,4301
15.05.2014;2,4201
14.05.2014;2,4163
13.05.2014;2,4243
12.05.2014;2,4435
09.05.2014;2,4491
08.05.2014;2,4672
07.05.2014;2,4247
06.05.2014;2,4221
05.05.2014;2,4458
02.05.2014;2,446
01.05.2014;2,4687
30.04.2014;2,4638
29.04.2014;2,437
28.04.2014;2,4738
25.04.2014;2,4656
24.04.2014;2,4725
23.04.2014;2,4672
22.04.2014;2,4426
21.04.2014;2,4456
17.04.2014;2,4691
16.04.2014;2,4287
15.04.2014;2,4034
14.04.2014;2,4645
11.04.2014;2,4738
10.04.2014;2,4743
09.04.2014;2,4253
