ism PMI;
Date;Last Price
31.07.2015;52,7
30.06.2015;53,5
31.03.2015;51,5
31.12.2014;55,1
30.09.2014;56,1
30.06.2014;55,7
31.03.2014;54,4
31.12.2013;56,1
30.09.2013;55,6
28.06.2013;52,8
29.03.2013;52
31.12.2012;50
28.09.2012;51,9
29.06.2012;51,3
30.03.2012;53,3
30.12.2011;52,8
30.09.2011;52,7
30.06.2011;56,9
31.03.2011;59,2
31.12.2010;57,5
30.09.2010;56,3
30.06.2010;56,4
31.03.2010;58,8
31.12.2009;55,3
30.09.2009;54,4
30.06.2009;45,8
31.03.2009;36
31.12.2008;33,1
30.09.2008;44,8
30.06.2008;49,8
31.03.2008;48,3
31.12.2007;49
28.09.2007;51
29.06.2007;52,6
30.03.2007;50,7
29.12.2006;51,4
29.09.2006;52,2
30.06.2006;52
31.03.2006;54,3
30.12.2005;55,1
30.09.2005;56,8
