Libor 1 month;
Date;Ask Price
17.08.2015;
14.08.2015;0,1996
13.08.2015;0,1976
12.08.2015;0,194
11.08.2015;0,19345
10.08.2015;0,19255
07.08.2015;0,19125
06.08.2015;0,1915
05.08.2015;0,1935
04.08.2015;0,19075
03.08.2015;0,1905
31.07.2015;0,19175
30.07.2015;0,1885
29.07.2015;0,18955
28.07.2015;0,1908
27.07.2015;0,189
24.07.2015;0,189
23.07.2015;0,1905
22.07.2015;0,187
21.07.2015;0,185
20.07.2015;0,189
17.07.2015;0,1905
16.07.2015;0,188
15.07.2015;0,186
14.07.2015;0,187
13.07.2015;0,1873
10.07.2015;0,186
09.07.2015;0,1867
08.07.2015;0,1885
07.07.2015;0,1895
06.07.2015;0,1865
03.07.2015;0,1884
02.07.2015;0,18815
01.07.2015;0,185
30.06.2015;0,1865
29.06.2015;0,1866
26.06.2015;0,1866
25.06.2015;0,186
24.06.2015;0,1865
23.06.2015;0,187
22.06.2015;0,187
19.06.2015;0,187
18.06.2015;0,18675
17.06.2015;0,1875
16.06.2015;0,185
15.06.2015;0,18525
12.06.2015;0,18475
11.06.2015;0,1855
10.06.2015;0,18875
09.06.2015;0,1875
08.06.2015;0,1854
05.06.2015;0,183
04.06.2015;0,18405
03.06.2015;0,185
02.06.2015;0,1848
01.06.2015;0,183
29.05.2015;0,184
28.05.2015;0,184
27.05.2015;0,18535
26.05.2015;0,1863
22.05.2015;0,18485
21.05.2015;0,18475
20.05.2015;0,18475
19.05.2015;0,18675
18.05.2015;0,184
15.05.2015;0,1862
14.05.2015;0,18335
13.05.2015;0,1856
12.05.2015;0,1856
11.05.2015;0,1856
08.05.2015;0,18475
07.05.2015;0,1815
06.05.2015;0,18025
05.05.2015;0,1805
01.05.2015;0,18225
30.04.2015;0,181
29.04.2015;0,18025
28.04.2015;0,18425
27.04.2015;0,18125
24.04.2015;0,1815
23.04.2015;0,18125
22.04.2015;0,18175
21.04.2015;0,1815
20.04.2015;0,1805
17.04.2015;0,18025
16.04.2015;0,18055
15.04.2015;0,1804
14.04.2015;0,1825
13.04.2015;0,1815
10.04.2015;0,1785
09.04.2015;0,18
08.04.2015;0,18095
07.04.2015;0,18015
02.04.2015;0,17975
01.04.2015;0,17755
31.03.2015;0,17625
30.03.2015;0,17925
27.03.2015;0,178
26.03.2015;0,17775
25.03.2015;0,1756
24.03.2015;0,17275
23.03.2015;0,17375
20.03.2015;0,174
19.03.2015;0,17325
18.03.2015;0,176
17.03.2015;0,1775
16.03.2015;0,177
13.03.2015;0,1765
12.03.2015;0,1745
11.03.2015;0,176
10.03.2015;0,1779
09.03.2015;0,1765
06.03.2015;0,175
05.03.2015;0,175
04.03.2015;0,175
03.03.2015;0,173
02.03.2015;0,1727
27.02.2015;0,173
26.02.2015;0,1719
25.02.2015;0,172
24.02.2015;0,1715
23.02.2015;0,171
20.02.2015;0,1715
19.02.2015;0,1735
18.02.2015;0,1735
17.02.2015;0,1735
16.02.2015;0,173
13.02.2015;0,173
12.02.2015;0,172
11.02.2015;0,1717
10.02.2015;0,1717
09.02.2015;0,1722
06.02.2015;0,1715
05.02.2015;0,171
04.02.2015;0,1735
03.02.2015;0,171
02.02.2015;0,1695
30.01.2015;0,17125
29.01.2015;0,1709
28.01.2015;0,1705
27.01.2015;0,168
26.01.2015;0,169
23.01.2015;0,16775
22.01.2015;0,16825
21.01.2015;0,16675
20.01.2015;0,1685
19.01.2015;0,16875
16.01.2015;0,168
15.01.2015;0,168
14.01.2015;0,16825
13.01.2015;0,1665
12.01.2015;0,1665
09.01.2015;0,16675
08.01.2015;0,16625
07.01.2015;0,1665
06.01.2015;0,16775
05.01.2015;0,168
02.01.2015;0,1675
31.12.2014;0,17125
30.12.2014;0,1695
29.12.2014;0,16925
24.12.2014;0,16875
23.12.2014;0,1695
22.12.2014;0,167
19.12.2014;0,16425
18.12.2014;0,16545
17.12.2014;0,1641
16.12.2014;0,162
15.12.2014;0,162
12.12.2014;0,161
11.12.2014;0,1608
10.12.2014;0,1608
09.12.2014;0,1585
08.12.2014;0,1617
05.12.2014;0,158
04.12.2014;0,1572
03.12.2014;0,157
02.12.2014;0,15825
01.12.2014;0,15775
28.11.2014;0,154
27.11.2014;0,155
26.11.2014;0,15575
25.11.2014;0,15625
24.11.2014;0,1535
21.11.2014;0,15525
20.11.2014;0,155
19.11.2014;0,155
18.11.2014;0,155
17.11.2014;0,154
14.11.2014;0,153
13.11.2014;0,1547
12.11.2014;0,1528
11.11.2014;0,1533
10.11.2014;0,1543
07.11.2014;0,1573
06.11.2014;0,1555
05.11.2014;0,1555
04.11.2014;0,1555
03.11.2014;0,1555
31.10.2014;0,1559
30.10.2014;0,1567
29.10.2014;0,154
28.10.2014;0,1535
27.10.2014;0,1525
24.10.2014;0,152
23.10.2014;0,152
22.10.2014;0,153
21.10.2014;0,153
20.10.2014;0,1557
17.10.2014;0,1572
16.10.2014;0,157
15.10.2014;0,1535
14.10.2014;0,1518
13.10.2014;0,1533
10.10.2014;0,1528
09.10.2014;0,1527
08.10.2014;0,1518
07.10.2014;0,1525
06.10.2014;0,153
03.10.2014;0,153
02.10.2014;0,152
01.10.2014;0,152
30.09.2014;0,1565
29.09.2014;0,1525
26.09.2014;0,154
25.09.2014;0,1515
24.09.2014;0,1535
23.09.2014;0,1545
22.09.2014;0,1545
19.09.2014;0,154
18.09.2014;0,1535
17.09.2014;0,153
16.09.2014;0,1535
15.09.2014;0,1536
12.09.2014;0,1536
11.09.2014;0,1536
10.09.2014;0,1535
09.09.2014;0,1535
08.09.2014;0,1535
05.09.2014;0,1528
04.09.2014;0,1561
03.09.2014;0,1561
02.09.2014;0,1565
01.09.2014;0,1565
29.08.2014;0,157
28.08.2014;0,1545
27.08.2014;0,1567
26.08.2014;0,156
22.08.2014;0,155
21.08.2014;0,155
20.08.2014;0,155
19.08.2014;0,1555
18.08.2014;0,1555
15.08.2014;0,1555
14.08.2014;0,155
13.08.2014;0,155
12.08.2014;0,156
11.08.2014;0,1555
08.08.2014;0,156
07.08.2014;0,157
06.08.2014;0,1588
05.08.2014;0,1585
04.08.2014;0,1569
01.08.2014;0,156
31.07.2014;0,156
30.07.2014;0,1558
29.07.2014;0,155
28.07.2014;0,155
25.07.2014;0,156
24.07.2014;0,15425
23.07.2014;0,155
22.07.2014;0,15525
21.07.2014;0,15475
18.07.2014;0,15425
17.07.2014;0,1562
16.07.2014;0,15545
15.07.2014;0,1542
14.07.2014;0,152
11.07.2014;0,152
10.07.2014;0,1515
09.07.2014;0,15275
08.07.2014;0,1525
07.07.2014;0,1534
04.07.2014;0,1534
03.07.2014;0,1555
02.07.2014;0,1555
01.07.2014;0,1552
30.06.2014;0,1552
27.06.2014;0,1515
26.06.2014;0,1495
25.06.2014;0,151
24.06.2014;0,1515
23.06.2014;0,152
20.06.2014;0,154
