Libor overnight;
Date;Ask Price
17.08.2015;
14.08.2015;0,1305
13.08.2015;0,1285
12.08.2015;0,128
11.08.2015;0,1275
10.08.2015;0,1265
07.08.2015;0,126
06.08.2015;0,126
05.08.2015;0,1265
04.08.2015;0,1265
03.08.2015;0,1265
31.07.2015;0,1214
30.07.2015;0,1265
29.07.2015;0,126
28.07.2015;0,126
27.07.2015;0,126
24.07.2015;0,1265
23.07.2015;0,1265
22.07.2015;0,1285
21.07.2015;0,1275
20.07.2015;0,1275
17.07.2015;0,128
16.07.2015;0,128
15.07.2015;0,128
14.07.2015;0,128
13.07.2015;0,128
10.07.2015;0,1265
09.07.2015;0,1255
08.07.2015;0,1255
07.07.2015;0,126
06.07.2015;0,1255
03.07.2015;0,1255
02.07.2015;0,125
01.07.2015;0,123
30.06.2015;0,112
29.06.2015;0,1236
26.06.2015;0,124
25.06.2015;0,1245
24.06.2015;0,1235
23.06.2015;0,124
22.06.2015;0,1245
19.06.2015;0,1245
18.06.2015;0,1235
17.06.2015;0,123
16.06.2015;0,1235
15.06.2015;0,1235
12.06.2015;0,123
11.06.2015;0,123
10.06.2015;0,123
09.06.2015;0,123
08.06.2015;0,123
05.06.2015;0,123
04.06.2015;0,123
03.06.2015;0,123
02.06.2015;0,1235
01.06.2015;0,123
29.05.2015;0,121
28.05.2015;0,123
27.05.2015;0,123
26.05.2015;0,123
22.05.2015;0,124
21.05.2015;0,124
20.05.2015;0,124
19.05.2015;0,124
18.05.2015;0,124
15.05.2015;0,124
14.05.2015;0,123
13.05.2015;0,123
12.05.2015;0,123
11.05.2015;0,123
08.05.2015;0,123
07.05.2015;0,123
06.05.2015;0,123
05.05.2015;0,123
01.05.2015;0,122
30.04.2015;0,12
29.04.2015;0,123
28.04.2015;0,123
27.04.2015;0,1225
24.04.2015;0,1225
23.04.2015;0,1225
22.04.2015;0,122
21.04.2015;0,1225
20.04.2015;0,122
17.04.2015;0,122
16.04.2015;0,122
15.04.2015;0,122
14.04.2015;0,122
13.04.2015;0,122
10.04.2015;0,122
09.04.2015;0,121
08.04.2015;0,121
07.04.2015;0,122
02.04.2015;0,1215
01.04.2015;0,1225
31.03.2015;0,114
30.03.2015;0,12
27.03.2015;0,121
26.03.2015;0,121
25.03.2015;0,1215
24.03.2015;0,122
23.03.2015;0,1225
20.03.2015;0,122
19.03.2015;0,122
18.03.2015;0,122
17.03.2015;0,1225
16.03.2015;0,123
13.03.2015;0,123
12.03.2015;0,1225
11.03.2015;0,122
10.03.2015;0,122
09.03.2015;0,1215
06.03.2015;0,1215
05.03.2015;0,1215
04.03.2015;0,1215
03.03.2015;0,1215
02.03.2015;0,1192
27.02.2015;0,116
26.02.2015;0,118
25.02.2015;0,118
24.02.2015;0,119
23.02.2015;0,119
20.02.2015;0,1205
19.02.2015;0,1185
18.02.2015;0,118
17.02.2015;0,1175
13.02.2015;0,1175
12.02.2015;0,1195
11.02.2015;0,118
10.02.2015;0,116
09.02.2015;0,117
06.02.2015;0,1175
05.02.2015;0,118
04.02.2015;0,118
03.02.2015;0,1175
02.02.2015;0,116
30.01.2015;0,115
29.01.2015;0,1194
28.01.2015;0,1177
27.01.2015;0,1196
26.01.2015;0,1199
23.01.2015;0,1199
22.01.2015;0,1214
21.01.2015;0,1214
20.01.2015;0,1208
16.01.2015;0,1201
15.01.2015;0,1201
14.01.2015;0,1196
13.01.2015;0,1167
12.01.2015;0,1165
09.01.2015;0,1191
08.01.2015;0,1191
07.01.2015;0,1189
06.01.2015;0,1187
05.01.2015;0,1164
02.01.2015;0,1126
31.12.2014;0,0852
30.12.2014;0,1146
29.12.2014;0,1161
24.12.2014;0,1151
23.12.2014;0,1141
22.12.2014;0,1142
19.12.2014;0,114
18.12.2014;0,1117
17.12.2014;0,1108
16.12.2014;0,11
15.12.2014;0,1105
12.12.2014;0,1104
11.12.2014;0,1125
10.12.2014;0,112
09.12.2014;0,11
08.12.2014;0,111
05.12.2014;0,111
04.12.2014;0,111
03.12.2014;0,1095
02.12.2014;0,1067
01.12.2014;0,1017
28.11.2014;0,0977
26.11.2014;0,102
25.11.2014;0,1025
24.11.2014;0,1015
21.11.2014;0,1015
20.11.2014;0,0994
19.11.2014;0,0985
18.11.2014;0,0964
17.11.2014;0,0945
14.11.2014;0,094
13.11.2014;0,0939
12.11.2014;0,0945
10.11.2014;0,094
07.11.2014;0,094
06.11.2014;0,0935
05.11.2014;0,0925
04.11.2014;0,0925
03.11.2014;0,0925
31.10.2014;0,088
30.10.2014;0,0911
29.10.2014;0,0915
28.10.2014;0,0905
27.10.2014;0,09
24.10.2014;0,0905
23.10.2014;0,0905
22.10.2014;0,0915
21.10.2014;0,091
20.10.2014;0,0915
17.10.2014;0,091
16.10.2014;0,0913
15.10.2014;0,092
14.10.2014;0,091
10.10.2014;0,0905
09.10.2014;0,0904
08.10.2014;0,09
07.10.2014;0,0902
06.10.2014;0,0905
03.10.2014;0,0899
02.10.2014;0,0895
01.10.2014;0,0908
30.09.2014;0,0808
29.09.2014;0,0905
26.09.2014;0,0905
25.09.2014;0,0908
24.09.2014;0,0908
23.09.2014;0,0909
22.09.2014;0,0903
19.09.2014;0,0912
18.09.2014;0,0907
17.09.2014;0,091
16.09.2014;0,091
15.09.2014;0,091
12.09.2014;0,091
11.09.2014;0,0906
10.09.2014;0,0909
09.09.2014;0,0905
08.09.2014;0,091
05.09.2014;0,091
04.09.2014;0,091
03.09.2014;0,0905
02.09.2014;0,0905
29.08.2014;0,0895
28.08.2014;0,0915
27.08.2014;0,092
26.08.2014;0,092
22.08.2014;0,0919
21.08.2014;0,092
20.08.2014;0,0911
19.08.2014;0,0919
18.08.2014;0,0914
15.08.2014;0,0915
14.08.2014;0,0911
13.08.2014;0,0903
12.08.2014;0,0901
11.08.2014;0,0902
08.08.2014;0,0895
07.08.2014;0,0895
06.08.2014;0,0899
05.08.2014;0,0899
04.08.2014;0,0905
01.08.2014;0,0899
31.07.2014;0,0865
30.07.2014;0,091
29.07.2014;0,0911
28.07.2014;0,0907
25.07.2014;0,0915
24.07.2014;0,0913
23.07.2014;0,092
22.07.2014;0,0925
21.07.2014;0,0915
18.07.2014;0,093
17.07.2014;0,0925
16.07.2014;0,0924
15.07.2014;0,0942
14.07.2014;0,0934
11.07.2014;0,0939
10.07.2014;0,094
09.07.2014;0,0942
08.07.2014;0,0941
07.07.2014;0,0945
03.07.2014;0,0954
02.07.2014;0,0959
01.07.2014;0,095
30.06.2014;0,0936
27.06.2014;0,0966
26.06.2014;0,0962
25.06.2014;0,0955
24.06.2014;0,096
23.06.2014;0,0953
20.06.2014;0,0955
19.06.2014;0,095
18.06.2014;0,096
17.06.2014;0,094
16.06.2014;0,0921
13.06.2014;0,0922
12.06.2014;0,0919
11.06.2014;0,0888
10.06.2014;0,0893
09.06.2014;0,0901
