Libor one week;
Date;Ask Price
17.08.2015;
14.08.2015;0,153
13.08.2015;0,1518
12.08.2015;0,15075
11.08.2015;0,1506
10.08.2015;0,1491
07.08.2015;0,1497
06.08.2015;0,1505
05.08.2015;0,149
04.08.2015;0,1502
03.08.2015;0,15
31.07.2015;0,1491
30.07.2015;0,1495
29.07.2015;0,1469
28.07.2015;0,1505
27.07.2015;0,151
24.07.2015;0,15
23.07.2015;0,149
22.07.2015;0,147
21.07.2015;0,149
20.07.2015;0,15
17.07.2015;0,1481
16.07.2015;0,15
15.07.2015;0,15
14.07.2015;0,1485
13.07.2015;0,149
10.07.2015;0,1481
09.07.2015;0,148
08.07.2015;0,149
07.07.2015;0,1495
06.07.2015;0,147
03.07.2015;0,148
02.07.2015;0,148
01.07.2015;0,149
30.06.2015;0,148
29.06.2015;0,1475
26.06.2015;0,146
25.06.2015;0,146
24.06.2015;0,146
23.06.2015;0,148
22.06.2015;0,148
19.06.2015;0,147
18.06.2015;0,1472
17.06.2015;0,144
16.06.2015;0,1475
15.06.2015;0,1477
12.06.2015;0,1475
11.06.2015;0,1475
10.06.2015;0,144
09.06.2015;0,147
08.06.2015;0,1475
05.06.2015;0,1475
04.06.2015;0,14725
03.06.2015;0,1445
02.06.2015;0,1473
01.06.2015;0,147
29.05.2015;0,15025
28.05.2015;0,15
27.05.2015;0,14575
26.05.2015;0,148
22.05.2015;0,14775
21.05.2015;0,1485
20.05.2015;0,1465
19.05.2015;0,1485
18.05.2015;0,1485
15.05.2015;0,149
14.05.2015;0,14675
13.05.2015;0,14575
12.05.2015;0,14875
11.05.2015;0,14825
08.05.2015;0,1485
07.05.2015;0,1485
06.05.2015;0,1453
05.05.2015;0,149
01.05.2015;0,1475
30.04.2015;0,14975
29.04.2015;0,1476
28.04.2015;0,1495
27.04.2015;0,14525
24.04.2015;0,144
23.04.2015;0,146
22.04.2015;0,14645
21.04.2015;0,14925
20.04.2015;0,14775
17.04.2015;0,1475
16.04.2015;0,147
15.04.2015;0,14375
14.04.2015;0,14675
13.04.2015;0,147
10.04.2015;0,14625
09.04.2015;0,14575
08.04.2015;0,1413
07.04.2015;0,142
02.04.2015;0,1438
01.04.2015;0,1444
31.03.2015;0,1407
30.03.2015;0,14425
27.03.2015;0,1425
26.03.2015;0,1415
25.03.2015;0,13975
24.03.2015;0,14025
23.03.2015;0,142
20.03.2015;0,142
19.03.2015;0,1435
18.03.2015;0,1415
17.03.2015;0,141
16.03.2015;0,14
13.03.2015;0,14
12.03.2015;0,139
11.03.2015;0,1385
10.03.2015;0,1385
09.03.2015;0,1387
06.03.2015;0,1389
05.03.2015;0,139
04.03.2015;0,1385
03.03.2015;0,1385
02.03.2015;0,1365
27.02.2015;0,135
26.02.2015;0,139
25.02.2015;0,138
24.02.2015;0,13875
23.02.2015;0,1406
20.02.2015;0,1395
19.02.2015;0,1414
18.02.2015;0,14
17.02.2015;0,1379
16.02.2015;0,1375
13.02.2015;0,138
12.02.2015;0,138
11.02.2015;0,1375
10.02.2015;0,1362
09.02.2015;0,134
06.02.2015;0,1365
05.02.2015;0,136
04.02.2015;0,137
03.02.2015;0,136
02.02.2015;0,136
30.01.2015;0,1351
29.01.2015;0,1368
28.01.2015;0,1367
27.01.2015;0,1371
26.01.2015;0,1369
23.01.2015;0,1344
22.01.2015;0,1347
21.01.2015;0,1361
20.01.2015;0,1355
19.01.2015;0,1355
16.01.2015;0,135
15.01.2015;0,1351
14.01.2015;0,1345
13.01.2015;0,133
12.01.2015;0,1319
09.01.2015;0,1349
08.01.2015;0,1341
07.01.2015;0,1342
06.01.2015;0,1335
05.01.2015;0,13475
02.01.2015;0,1348
31.12.2014;0,135
30.12.2014;0,136
29.12.2014;0,1326
24.12.2014;0,133
23.12.2014;0,13425
22.12.2014;0,134
19.12.2014;0,132
18.12.2014;0,1308
17.12.2014;0,1305
16.12.2014;0,131
15.12.2014;0,1319
12.12.2014;0,1335
11.12.2014;0,1345
10.12.2014;0,135
09.12.2014;0,136
08.12.2014;0,1366
05.12.2014;0,134
04.12.2014;0,1341
03.12.2014;0,133
02.12.2014;0,13075
01.12.2014;0,1262
28.11.2014;0,1241
27.11.2014;0,1246
26.11.2014;0,1248
25.11.2014;0,12525
24.11.2014;0,1239
21.11.2014;0,12575
20.11.2014;0,124
19.11.2014;0,12175
18.11.2014;0,1218
17.11.2014;0,12
14.11.2014;0,12025
13.11.2014;0,1215
12.11.2014;0,122
11.11.2014;0,12175
10.11.2014;0,11985
07.11.2014;0,122
06.11.2014;0,12225
05.11.2014;0,1207
04.11.2014;0,1185
03.11.2014;0,11975
31.10.2014;0,12075
30.10.2014;0,122
29.10.2014;0,1207
28.10.2014;0,11775
27.10.2014;0,1205
24.10.2014;0,1205
23.10.2014;0,1187
22.10.2014;0,11875
21.10.2014;0,11875
20.10.2014;0,1204
17.10.2014;0,1205
16.10.2014;0,12025
15.10.2014;0,12
14.10.2014;0,1193
13.10.2014;0,11955
10.10.2014;0,1186
09.10.2014;0,12
08.10.2014;0,1173
07.10.2014;0,11875
06.10.2014;0,1205
03.10.2014;0,11845
02.10.2014;0,1195
01.10.2014;0,11775
30.09.2014;0,1185
29.09.2014;0,1225
26.09.2014;0,1175
25.09.2014;0,12175
24.09.2014;0,122
23.09.2014;0,122
22.09.2014;0,1215
19.09.2014;0,11975
18.09.2014;0,12175
17.09.2014;0,122
16.09.2014;0,12175
15.09.2014;0,1193
12.09.2014;0,11925
11.09.2014;0,1215
10.09.2014;0,12125
09.09.2014;0,11955
08.09.2014;0,11985
05.09.2014;0,11825
04.09.2014;0,12125
03.09.2014;0,12125
02.09.2014;0,12225
01.09.2014;0,12445
29.08.2014;0,12325
28.08.2014;0,12425
27.08.2014;0,1235
26.08.2014;0,123
22.08.2014;0,121
21.08.2014;0,1225
20.08.2014;0,12125
19.08.2014;0,12225
18.08.2014;0,12175
15.08.2014;0,12175
14.08.2014;0,1215
13.08.2014;0,1205
12.08.2014;0,12125
11.08.2014;0,12025
08.08.2014;0,1205
07.08.2014;0,1215
06.08.2014;0,12
05.08.2014;0,122
04.08.2014;0,1205
01.08.2014;0,122
31.07.2014;0,12325
30.07.2014;0,12325
29.07.2014;0,12225
28.07.2014;0,12175
25.07.2014;0,122
24.07.2014;0,12325
23.07.2014;0,123
22.07.2014;0,123
21.07.2014;0,123
18.07.2014;0,122
17.07.2014;0,12275
16.07.2014;0,12275
15.07.2014;0,12275
14.07.2014;0,1225
11.07.2014;0,12275
10.07.2014;0,12225
09.07.2014;0,1225
08.07.2014;0,12225
07.07.2014;0,123
04.07.2014;0,123
03.07.2014;0,123
02.07.2014;0,123
01.07.2014;0,123
30.06.2014;0,123
27.06.2014;0,123
26.06.2014;0,1225
25.06.2014;0,12325
24.06.2014;0,1235
23.06.2014;0,123
20.06.2014;0,123
