PMI;
Date;Last Price
31.07.2015;53,8
30.06.2015;53,6
31.05.2015;54
30.04.2015;54,1
31.03.2015;55,7
28.02.2015;55,1
31.01.2015;53,9
31.12.2014;53,9
30.11.2014;54,8
31.10.2014;55,9
30.09.2014;57,5
31.08.2014;57,9
31.07.2014;55,8
30.06.2014;57,3
31.05.2014;56,4
30.04.2014;55,4
31.03.2014;55,5
28.02.2014;57,1
31.01.2014;53,7
31.12.2013;55
30.11.2013;54,7
31.10.2013;51,8
30.09.2013;52,8
31.08.2013;53,1
31.07.2013;53,7
30.06.2013;51,9
31.05.2013;52,3
30.04.2013;52,1
31.03.2013;54,6
28.02.2013;54,3
31.01.2013;55,8
31.12.2012;54
30.11.2012;52,8
31.10.2012;51
30.09.2012;51,1
31.08.2012;51,5
